,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
1237,37.6,1757,33974,5.1,918100,433,9.6,1.20591862,79333,66.710234,2.140011
1238,16.1,3054,30973,3.5,516500,668,6.6,1.82246377,60820,84.427536,0.5271775
1239,12.2,5456,50156,5.7,401900,1507,12.2,0.39298246,83833,87.423392,0.223607
1240,24.4,1344,31395,5.9,483100,379,6,1.03937008,109327,83.574803,1.815476
1241,16.9,1736,35785,5.7,478200,530,3.8,1.65584416,97622,81.655844,0.9735023
1242,54.4,1906,31125,6.3,602000,452,0,0.11111111,99524,84.438596,2.854145
1243,22.3,2872,26357,5.6,610100,593,3.5,0.22171946,96818,84.574661,0.7764624
1244,22.4,1465,36199,5.3,447700,405,5.8,1.26737968,62796,84.427807,1.52901
1245,3.4,3826,26432,4.8,469600,942,7,0.78536585,60099,81.843902,0.08886566
1246,14.3,3070,28408,5.3,520300,829,8.4,1.32103321,67151,80.01107,0.465798
1247,6.9,4547,0,5,496500,1176,8.9,0.11742424,59583,85.829545,0.1517484
1248,5.8,4682,26061,5,495300,1078,0,0.28409091,70492,86.106061,0.1238787
1249,42.6,2031,36222,4.3,435000,428,10.3,8.05172414,92371,70.045977,2.097489
1250,7.3,6246,13623,4.1,434300,1315,2.1,2.74025974,32671,80.229437,0.1168748
1251,1.9,3951,12162,3.4,135900,1072,16.7,0,50357,86.509615,0.04808909
1252,9,5268,14049,3.6,408800,1178,23.6,0.96932515,18688,86.239264,0.1708428
1253,0,3702,12382,3.3,0,752,5.6,0,30647,89.356164,0
1254,0,4471,11933,3.9,349400,900,10.9,3.7992278,31635,75.324324,0
1255,40.8,3765,65323,3.3,1000000,867,33.1,1.26960784,173393,80.813725,1.083665
1256,44.1,4163,46547,2.8,751100,781,5.4,0.29569892,177863,87.075269,1.059332
1257,37.7,701,52043,2.8,0,160,0,3.84324324,73269,81.697297,5.378031
1258,11.6,2627,16422,3.4,369800,391,26.7,8.03669725,133426,72.614679,0.4415683
1259,6.8,2206,105638,0,0,0,0,0.12265386,0,88.237014,0.3082502
1260,0,1321,20102,3.9,547100,284,11.3,0,31791,95.179191,0
1261,0,3798,10805,3.1,1000000,893,13.4,0.74828767,172973,84.267123,0
1262,7.4,4774,8364,3.8,298100,1084,7.4,2.31914894,47361,88.300532,0.1550063
1263,6.1,3409,33608,3.9,0,751,37.6,7.04918033,10558,67.040984,0.1789381
